HDR,ROLLING SYSTEM DEMAND
20210902000500,22643.0
20210902001000,22515.0
20210902001500,22479.0
20210902002000,22392.0
20210902002500,22282.0
20210902003000,22231.0
20210902003500,22387.0
20210902004000,22391.0
20210902004500,22271.0
20210902005000,22369.0
20210902005500,22474.0
20210902010000,22418.0
20210902010500,22365.0
20210902011000,22325.0
20210902011500,22343.0
20210902012000,22349.0
20210902012500,22273.0
20210902013000,22246.0
20210902013500,22190.0
20210902014000,22220.0
20210902014500,22157.0
20210902015000,22004.0
20210902015500,21906.0
20210902020000,21926.0
20210902020500,21988.0
20210902021000,21984.0
20210902021500,21928.0
20210902022000,21913.0
20210902022500,21841.0
20210902023000,21763.0
20210902023500,21754.0
20210902024000,21743.0
20210902024500,21728.0
20210902025000,21717.0
20210902025500,21770.0
20210902030000,21774.0
20210902030500,21723.0
20210902031000,21810.0
20210902031500,22001.0
20210902032000,22029.0
20210902032500,22050.0
20210902033000,22054.0
20210902033500,21925.0
20210902034000,21946.0
20210902034500,22108.0
20210902035000,22194.0
20210902035500,22189.0
20210902040000,22225.0
20210902040500,21991.0
20210902041000,21908.0
20210902041500,22183.0
20210902042000,22259.0
20210902042500,22347.0
20210902043000,22442.0
20210902043500,22638.0
20210902044000,22891.0
20210902044500,23087.0
20210902045000,23284.0
20210902045500,23516.0
20210902050000,23444.0
20210902050500,23786.0
20210902051000,24023.0
20210902051500,24201.0
20210902052000,24406.0
20210902052500,24737.0
20210902053000,24905.0
20210902053500,25283.0
20210902054000,25651.0
20210902054500,25957.0
20210902055000,26252.0
20210902055500,26664.0
20210902060000,26985.0
20210902060500,27616.0
20210902061000,28374.0
20210902061500,28873.0
20210902062000,29290.0
20210902062500,29614.0
20210902063000,29693.0
20210902063500,29696.0
20210902064000,29769.0
20210902064500,29910.0
20210902065000,30075.0
20210902065500,30304.0
20210902070000,30607.0
20210902070500,31065.0
20210902071000,31310.0
20210902071500,31542.0
20210902072000,31677.0
20210902072500,31737.0
20210902073000,31716.0
20210902073500,31864.0
20210902074000,31948.0
20210902074500,31958.0
20210902075000,31911.0
20210902075500,32029.0
20210902080000,32196.0
20210902080500,32418.0
20210902081000,32432.0
20210902081500,32478.0
20210902082000,32474.0
20210902082500,32405.0
20210902083000,32397.0
20210902083500,32388.0
20210902084000,32398.0
20210902084500,32400.0
20210902085000,32387.0
20210902085500,32459.0
20210902090000,31989.0
20210902090500,32238.0
20210902091000,32422.0
20210902091500,32523.0
20210902092000,32486.0
20210902092500,32538.0
20210902093000,32542.0
20210902093500,32592.0
20210902094000,32593.0
20210902094500,32730.0
20210902095000,32795.0
20210902095500,32835.0
20210902100000,32946.0
20210902100500,32801.0
20210902101000,31699.0
20210902101500,31588.0
20210902102000,31431.0
20210902102500,31347.0
20210902103000,31192.0
20210902103500,31123.0
20210902104000,31067.0
20210902104500,31032.0
20210902105000,31010.0
20210902105500,31027.0
20210902110000,31028.0
20210902110500,31145.0
20210902111000,31380.0
20210902111500,31606.0
20210902112000,31674.0
20210902112500,31752.0
20210902113000,31769.0
20210902113500,31808.0
20210902114000,31897.0
20210902114500,31977.0
20210902115000,32068.0
20210902115500,32118.0
20210902120000,32202.0
20210902120500,32228.0
20210902121000,32022.0
20210902121500,31883.0
20210902122000,31816.0
20210902122500,31702.0
20210902123000,31496.0
20210902123500,31304.0
20210902124000,31219.0
20210902124500,31182.0
20210902125000,31077.0
20210902125500,31019.0
20210902130000,31017.0
20210902130500,31158.0
20210902131000,31126.0
20210902131500,31046.0
20210902132000,30971.0
20210902132500,30870.0
20210902133000,30776.0
20210902133500,30746.0
20210902134000,30752.0
20210902134500,30764.0
20210902135000,30857.0
20210902135500,30978.0
20210902140000,30983.0
20210902140500,30936.0
20210902141000,30925.0
20210902141500,30989.0
20210902142000,30934.0
20210902142500,30918.0
20210902143000,30930.0
20210902143500,30897.0
20210902144000,30958.0
20210902144500,31139.0
20210902145000,31228.0
20210902145500,31198.0
20210902150000,31260.0
20210902150500,31254.0
20210902151000,31285.0
20210902151500,31346.0
20210902152000,31529.0
20210902152500,31609.0
20210902153000,31664.0
20210902153500,31812.0
20210902154000,31960.0
20210902154500,32090.0
20210902155000,32212.0
20210902155500,32258.0
20210902160000,32244.0
20210902160500,32205.0
20210902161000,32064.0
20210902161500,32026.0
20210902162000,32344.0
20210902162500,32575.0
20210902163000,32771.0
20210902163500,32932.0
20210902164000,33010.0
20210902164500,33042.0
20210902165000,33125.0
20210902165500,33025.0
20210902170000,32932.0
20210902170500,32922.0
20210902171000,32833.0
20210902171500,32858.0
20210902172000,32983.0
20210902172500,32923.0
20210902173000,32860.0
20210902173500,32927.0
20210902174000,32905.0
20210902174500,32942.0
20210902175000,32903.0
20210902175500,32788.0
20210902180000,32716.0
20210902180500,32667.0
20210902181000,32670.0
20210902181500,32676.0
20210902182000,32674.0
20210902182500,32682.0
20210902183000,32670.0
20210902183500,32698.0
20210902184000,32760.0
20210902184500,32832.0
20210902185000,32877.0
20210902185500,32878.0
20210902190000,32930.0
20210902190500,33050.0
20210902191000,33090.0
20210902191500,33163.0
20210902192000,33124.0
20210902192500,33043.0
20210902193000,32896.0
20210902193500,32900.0
20210902194000,32900.0
20210902194500,32658.0
20210902195000,32522.0
20210902195500,32433.0
20210902200000,32232.0
20210902200500,32051.0
20210902201000,31877.0
20210902201500,31731.0
20210902202000,31492.0
20210902202500,31280.0
20210902203000,31083.0
20210902203500,31113.0
20210902204000,31059.0
20210902204500,30693.0
20210902205000,30476.0
20210902205500,30203.0
20210902210000,29980.0
20210902210500,30009.0
20210902211000,29800.0
20210902211500,29681.0
20210902212000,29446.0
20210902212500,29363.0
20210902213000,29146.0
20210902213500,28868.0
20210902214000,28396.0
20210902214500,28084.0
20210902215000,27924.0
20210902215500,27760.0
20210902220000,27553.0
20210902220500,27577.0
20210902221000,27408.0
20210902221500,27262.0
20210902222000,26994.0
20210902222500,26838.0
20210902223000,26620.0
20210902223500,26314.0
20210902224000,25979.0
20210902224500,25770.0
20210902225000,25542.0
20210902225500,25254.0
20210902230000,25111.0
20210902230500,24731.0
20210902231000,24631.0
20210902231500,24577.0
20210902232000,24600.0
20210902232500,24531.0
20210902233000,24451.0
20210902233500,24482.0
20210902234000,24322.0
20210902234500,24158.0
20210902235000,24032.0
20210902235500,23942.0
20210903000000,24008.0
20210903000500,24177.0
20210903001000,24216.0
20210903001500,23985.0
20210903002000,23868.0
20210903002500,23809.0
20210903003000,23759.0
20210903003500,23735.0
20210903004000,23658.0
20210903004500,23716.0
20210903005000,23679.0
20210903005500,23621.0
20210903010000,23560.0
20210903010500,23384.0
20210903011000,23226.0
20210903011500,23143.0
20210903012000,23121.0
20210903012500,23126.0
20210903013000,21890.0
20210903013500,21860.0
20210903014000,22970.0
20210903014500,22896.0
20210903015000,22823.0
20210903015500,22848.0
20210903020000,22929.0
20210903020500,22977.0
20210903021000,22924.0
20210903021500,22863.0
20210903022000,22805.0
20210903022500,22753.0
20210903023000,22778.0
20210903023500,22807.0
20210903024000,22760.0
20210903024500,22683.0
20210903025000,22693.0
20210903025500,22696.0
20210903030000,22694.0
20210903030500,22723.0
20210903031000,22763.0
20210903031500,22887.0
20210903032000,22908.0
20210903032500,22870.0
20210903033000,22852.0
20210903033500,22827.0
20210903034000,22914.0
20210903034500,22972.0
20210903035000,23008.0
20210903035500,23163.0
20210903040000,23337.0
20210903040500,23363.0
20210903041000,23390.0
20210903041500,23519.0
20210903042000,23585.0
20210903042500,23570.0
20210903043000,23655.0
20210903043500,23763.0
20210903044000,23879.0
20210903044500,23963.0
20210903045000,24094.0
20210903045500,24158.0
20210903050000,24362.0
20210903050500,24682.0
20210903051000,25182.0
20210903051500,25455.0
20210903052000,25587.0
20210903052500,25877.0
20210903053000,26052.0
20210903053500,26365.0
20210903054000,26703.0
20210903054500,26884.0
20210903055000,26958.0
20210903055500,26994.0
20210903060000,27327.0
20210903060500,27811.0
20210903061000,28290.0
20210903061500,28606.0
20210903062000,28987.0
20210903062500,29179.0
20210903063000,29264.0
20210903063500,29576.0
20210903064000,29768.0
20210903064500,29929.0
20210903065000,30099.0
20210903065500,30269.0
20210903070000,30237.0
20210903070500,30362.0
20210903071000,30575.0
20210903071500,30932.0
20210903072000,31018.0
20210903072500,31088.0
20210903073000,31352.0
20210903073500,31401.0
20210903074000,31435.0
20210903074500,31473.0
20210903075000,31566.0
20210903075500,31584.0
20210903080000,31652.0
20210903080500,31756.0
20210903081000,31935.0
20210903081500,31867.0
20210903082000,31679.0
20210903082500,31611.0
20210903083000,31596.0
20210903083500,31569.0
20210903084000,31491.0
20210903084500,31440.0
20210903085000,31477.0
20210903085500,31406.0
20210903090000,31153.0
20210903090500,31088.0
20210903091000,31138.0
20210903091500,31199.0
20210903092000,31260.0
20210903092500,31220.0
20210903093000,31237.0
20210903093500,31244.0
20210903094000,31134.0
20210903094500,31027.0
20210903095000,30961.0
20210903095500,30869.0
20210903100000,30864.0
20210903100500,30935.0
20210903101000,31054.0
20210903101500,31074.0
20210903102000,31023.0
20210903102500,31035.0
20210903103000,30967.0
20210903103500,30877.0
20210903104000,30826.0
20210903104500,30838.0
20210903105000,30768.0
20210903105500,30715.0
20210903110000,30682.0
20210903110500,30695.0
20210903111000,30684.0
20210903111500,30736.0
20210903112000,30792.0
20210903112500,30717.0
20210903113000,30664.0
20210903113500,30724.0
20210903114000,30695.0
20210903114500,30651.0
20210903115000,30917.0
20210903115500,30898.0
20210903120000,30792.0
20210903120500,30729.0
20210903121000,30843.0
20210903121500,30747.0
20210903122000,30612.0
20210903122500,30455.0
20210903123000,30229.0
20210903123500,30032.0
20210903124000,29995.0
20210903124500,29990.0
20210903125000,29879.0
20210903125500,29838.0
20210903130000,29798.0
20210903130500,29781.0
20210903131000,29773.0
20210903131500,29713.0
20210903132000,29636.0
20210903132500,29554.0
20210903133000,29434.0
20210903133500,29492.0
20210903134000,29515.0
20210903134500,29555.0
20210903135000,29482.0
20210903135500,29445.0
20210903140000,29199.0
20210903140500,29188.0
20210903141000,29246.0
20210903141500,29177.0
20210903142000,29172.0
20210903142500,29330.0
20210903143000,29282.0
20210903143500,29369.0
20210903144000,29366.0
20210903144500,29519.0
20210903145000,29706.0
20210903145500,29750.0
20210903150000,29836.0
20210903150500,29855.0
20210903151000,29939.0
20210903151500,30149.0
20210903152000,30180.0
20210903152500,30364.0
20210903153000,30566.0
20210903153500,30758.0
20210903154000,30942.0
20210903154500,30915.0
20210903155000,30891.0
20210903155500,30963.0
20210903160000,31057.0
20210903160500,31201.0
20210903161000,31344.0
20210903161500,31583.0
20210903162000,31768.0
20210903162500,31865.0
20210903163000,31966.0
20210903163500,31969.0
20210903164000,31931.0
20210903164500,32008.0
20210903165000,31991.0
20210903165500,31874.0
20210903170000,31942.0
20210903170500,32138.0
20210903171000,32177.0
20210903171500,32106.0
20210903172000,32026.0
20210903172500,32006.0
20210903173000,32097.0
20210903173500,32173.0
20210903174000,32213.0
20210903174500,32224.0
20210903175000,32336.0
20210903175500,32428.0
20210903180000,32469.0
20210903180500,32498.0
20210903181000,32471.0
20210903181500,32396.0
20210903182000,32367.0
20210903182500,32334.0
20210903183000,32316.0
20210903183500,32312.0
20210903184000,32279.0
20210903184500,32237.0
20210903185000,32299.0
20210903185500,32232.0
20210903190000,32167.0
20210903190500,32355.0
20210903191000,32460.0
20210903191500,32418.0
20210903192000,32277.0
20210903192500,32243.0
20210903193000,32086.0
20210903193500,31939.0
20210903194000,31957.0
20210903194500,31904.0
20210903195000,31742.0
20210903195500,31488.0
20210903200000,31468.0
20210903200500,31451.0
20210903201000,31352.0
20210903201500,30952.0
20210903202000,30818.0
20210903202500,30543.0
20210903203000,30383.0
20210903203500,30204.0
20210903204000,29999.0
20210903204500,29943.0
20210903205000,29874.0
20210903205500,29479.0
20210903210000,29218.0
20210903210500,29153.0
20210903211000,29032.0
20210903211500,28870.0
20210903212000,28727.0
20210903212500,28597.0
20210903213000,28277.0
20210903213500,28011.0
20210903214000,27557.0
20210903214500,27372.0
20210903215000,27167.0
20210903215500,26940.0
20210903220000,26680.0
20210903220500,26166.0
20210903221000,25826.0
20210903221500,25625.0
20210903222000,25388.0
20210903222500,25202.0
20210903223000,24958.0
20210903223500,24829.0
20210903224000,24521.0
20210903224500,24204.0
20210903225000,23974.0
20210903225500,23849.0
20210903230000,23630.0
20210903230500,23442.0
20210903231000,23250.0
20210903231500,23025.0
20210903232000,22878.0
20210903232500,22724.0
20210903233000,22555.0
20210903233500,22500.0
20210903234000,22486.0
20210903234500,22370.0
20210903235000,22306.0
20210903235500,22260.0
20210904000000,22071.0
20210904000500,22021.0
20210904001000,21907.0
20210904001500,21901.0
20210904002000,21914.0
20210904002500,21890.0
20210904003000,21888.0
20210904003500,22018.0
20210904004000,22030.0
20210904004500,21957.0
20210904005000,21817.0
20210904005500,21741.0
20210904010000,21697.0
20210904010500,21851.0
20210904011000,21900.0
20210904011500,21791.0
20210904012000,21697.0
20210904012500,21657.0
20210904013000,21642.0
20210904013500,21646.0
20210904014000,21639.0
20210904014500,21698.0
20210904015000,21741.0
20210904015500,21720.0
20210904020000,21660.0
20210904020500,21560.0
20210904021000,21571.0
20210904021500,21543.0
20210904022000,21499.0
20210904022500,21492.0
20210904023000,21467.0
20210904023500,21511.0
20210904024000,21500.0
20210904024500,21483.0
20210904025000,21468.0
20210904025500,21368.0
20210904030000,21327.0
20210904030500,21361.0
20210904031000,21411.0
20210904031500,21397.0
20210904032000,21413.0
20210904032500,21358.0
20210904033000,21363.0
20210904033500,21433.0
20210904034000,21467.0
20210904034500,21440.0
20210904035000,21422.0
20210904035500,21468.0
20210904040000,21464.0
20210904040500,21489.0
20210904041000,21633.0
20210904041500,21759.0
20210904042000,21803.0
20210904042500,21843.0
20210904043000,21730.0
20210904043500,21717.0
20210904044000,21754.0
20210904044500,21876.0
20210904045000,22040.0
20210904045500,22181.0
20210904050000,22256.0
20210904050500,22279.0
20210904051000,22223.0
20210904051500,22211.0
20210904052000,22161.0
20210904052500,22207.0
20210904053000,22247.0
20210904053500,22359.0
20210904054000,22444.0
20210904054500,22579.0
20210904055000,22731.0
20210904055500,23003.0
20210904060000,23220.0
20210904060500,23416.0
20210904061000,23718.0
20210904061500,24002.0
20210904062000,24176.0
20210904062500,24279.0
20210904063000,24328.0
20210904063500,24428.0
20210904064000,24445.0
20210904064500,24628.0
20210904065000,24895.0
20210904065500,25227.0
20210904070000,25366.0
20210904070500,25790.0
20210904071000,26151.0
20210904071500,26304.0
20210904072000,26506.0
20210904072500,26712.0
20210904073000,26845.0
20210904073500,26854.0
20210904074000,26982.0
20210904074500,27159.0
20210904075000,27263.0
20210904075500,27313.0
20210904080000,27376.0
20210904080500,27570.0
20210904081000,27526.0
20210904081500,27648.0
20210904082000,27710.0
20210904082500,27703.0
20210904083000,27721.0
20210904083500,27777.0
20210904084000,27858.0
20210904084500,27868.0
20210904085000,27847.0
20210904085500,27781.0
20210904090000,27703.0
20210904090500,27757.0
20210904091000,27772.0
20210904091500,27717.0
20210904092000,27628.0
20210904092500,27574.0
20210904093000,27484.0
20210904093500,27486.0
20210904094000,27466.0
20210904094500,27453.0
20210904095000,27512.0
20210904095500,27379.0
20210904100000,27268.0
20210904100500,27203.0
20210904101000,27144.0
20210904101500,27152.0
20210904102000,27122.0
20210904102500,27134.0
20210904103000,27072.0
20210904103500,27049.0
20210904104000,26988.0
20210904104500,27020.0
20210904105000,26990.0
20210904105500,27085.0
20210904110000,27008.0
20210904110500,27034.0
20210904111000,27012.0
20210904111500,26993.0
20210904112000,26999.0
20210904112500,26968.0
20210904113000,26903.0
20210904113500,26881.0
20210904114000,26812.0
20210904114500,26744.0
20210904115000,26806.0
20210904115500,26904.0
