HDR,ROLLING SYSTEM DEMAND
VD,20210915000000,23854
VD,20210915000500,23812
VD,20210915001000,23696
VD,20210915001500,23558
VD,20210915002000,23467
VD,20210915002500,23436
VD,20210915003000,23410
VD,20210915003500,23429
VD,20210915004000,23347
VD,20210915004500,23367
VD,20210915005000,23398
VD,20210915005500,23442
VD,20210915010000,23429
VD,20210915010500,23437
VD,20210915011000,23398
VD,20210915011500,23353
VD,20210915012000,23194
VD,20210915012500,23080
VD,20210915013000,22940
VD,20210915013500,22902
VD,20210915014000,22861
VD,20210915014500,22751
VD,20210915015000,22554
VD,20210915015500,22471
VD,20210915020000,22376
VD,20210915020500,22449
VD,20210915021000,22500
VD,20210915021500,22492
VD,20210915022000,22448
VD,20210915022500,22410
VD,20210915023000,22419
VD,20210915023500,22452
VD,20210915024000,22433
VD,20210915024500,22441
VD,20210915025000,22453
VD,20210915025500,22508
VD,20210915030000,22479
VD,20210915030500,22398
VD,20210915031000,22431
VD,20210915031500,22475
VD,20210915032000,22489
VD,20210915032500,22490
VD,20210915033000,22440
VD,20210915033500,22643
VD,20210915034000,22735
VD,20210915034500,22729
VD,20210915035000,22761
VD,20210915035500,22897
VD,20210915040000,22942
VD,20210915040500,23566
VD,20210915041000,24420
VD,20210915041500,24503
VD,20210915042000,24476
VD,20210915042500,24577
VD,20210915043000,24658
VD,20210915043500,24828
VD,20210915044000,25029
VD,20210915044500,25133
VD,20210915045000,25270
VD,20210915045500,25520
VD,20210915050000,25199
VD,20210915050500,25481
VD,20210915051000,25980
VD,20210915051500,26325
VD,20210915052000,26309
VD,20210915052500,26375
VD,20210915053000,26616
VD,20210915053500,26922
VD,20210915054000,27211
VD,20210915054500,27517
VD,20210915055000,27694
VD,20210915055500,27915
VD,20210915060000,28117
VD,20210915060500,28742
VD,20210915061000,29371
VD,20210915061500,29891
VD,20210915062000,30310
VD,20210915062500,30692
VD,20210915063000,30800
VD,20210915063500,30933
VD,20210915064000,31084
VD,20210915064500,31074
VD,20210915065000,31093
VD,20210915065500,31187
VD,20210915070000,31299
VD,20210915070500,31434
VD,20210915071000,31585
VD,20210915071500,31573
VD,20210915072000,31607
VD,20210915072500,31555
VD,20210915073000,31571
VD,20210915073500,31691
VD,20210915074000,31651
VD,20210915074500,31555
VD,20210915075000,31502
VD,20210915075500,31462
VD,20210915080000,31611
VD,20210915080500,31669
VD,20210915081000,31744
VD,20210915081500,31742
VD,20210915082000,31818
VD,20210915082500,31783
VD,20210915083000,31704
VD,20210915083500,31710
VD,20210915084000,31764
VD,20210915084500,31652
VD,20210915085000,31643
VD,20210915085500,31695
VD,20210915090000,31689
VD,20210915090500,31720
VD,20210915091000,31762
VD,20210915091500,31758
VD,20210915092000,31678
VD,20210915092500,31609
VD,20210915093000,31590
VD,20210915093500,31615
VD,20210915094000,31560
VD,20210915094500,31381
VD,20210915095000,31353
VD,20210915095500,31285
VD,20210915100000,31188
VD,20210915100500,31047
VD,20210915101000,30889
VD,20210915101500,30852
VD,20210915102000,30753
VD,20210915102500,30666
VD,20210915103000,30481
VD,20210915103500,30456
VD,20210915104000,30290
VD,20210915104500,30287
VD,20210915105000,30164
VD,20210915105500,30072
VD,20210915110000,30058
VD,20210915110500,30299
VD,20210915111000,30310
VD,20210915111500,30300
VD,20210915112000,30247
VD,20210915112500,30241
VD,20210915113000,30125
VD,20210915113500,30043
VD,20210915114000,29938
VD,20210915114500,29895
VD,20210915115000,29820
VD,20210915115500,29636
VD,20210915120000,29508
VD,20210915120500,29541
VD,20210915121000,29462
VD,20210915121500,29351
VD,20210915122000,29195
VD,20210915122500,29100
VD,20210915123000,28992
VD,20210915123500,28941
VD,20210915124000,28945
VD,20210915124500,28993
VD,20210915125000,28953
VD,20210915125500,28846
VD,20210915130000,28784
VD,20210915130500,28826
VD,20210915131000,28806
VD,20210915131500,28759
VD,20210915132000,28720
VD,20210915132500,28751
VD,20210915133000,28739
VD,20210915133500,28758
VD,20210915134000,28726
VD,20210915134500,28702
VD,20210915135000,28762
VD,20210915135500,28781
VD,20210915140000,28804
VD,20210915140500,28902
VD,20210915141000,28879
VD,20210915141500,28893
VD,20210915142000,28880
VD,20210915142500,28950
VD,20210915143000,29022
VD,20210915143500,29173
VD,20210915144000,29258
VD,20210915144500,29429
VD,20210915145000,29642
VD,20210915145500,29877
VD,20210915150000,29961
VD,20210915150500,29986
VD,20210915151000,30046
VD,20210915151500,30374
VD,20210915152000,30670
VD,20210915152500,30860
VD,20210915153000,30944
VD,20210915153500,30912
VD,20210915154000,30915
VD,20210915154500,31057
VD,20210915155000,31311
VD,20210915155500,31473
VD,20210915160000,31557
VD,20210915160500,31746
VD,20210915161000,31967
VD,20210915161500,32050
VD,20210915162000,32352
VD,20210915162500,32457
VD,20210915163000,32573
VD,20210915163500,32644
VD,20210915164000,32644
VD,20210915164500,32593
VD,20210915165000,32634
VD,20210915165500,32722
VD,20210915170000,32743
VD,20210915170500,32826
VD,20210915171000,32855
VD,20210915171500,32885
VD,20210915172000,32839
VD,20210915172500,32957
VD,20210915173000,32992
VD,20210915173500,33144
VD,20210915174000,33085
VD,20210915174500,33060
VD,20210915175000,33099
VD,20210915175500,33068
VD,20210915180000,33046
VD,20210915180500,32994
VD,20210915181000,33016
VD,20210915181500,33068
VD,20210915182000,33195
VD,20210915182500,33156
VD,20210915183000,33254
VD,20210915183500,33474
VD,20210915184000,33429
VD,20210915184500,33412
VD,20210915185000,33456
VD,20210915185500,33348
VD,20210915190000,33101
VD,20210915190500,33107
VD,20210915191000,32976
VD,20210915191500,32844
VD,20210915192000,32790
VD,20210915192500,32683
VD,20210915193000,32465
VD,20210915193500,32325
VD,20210915194000,31993
VD,20210915194500,31759
VD,20210915195000,31644
VD,20210915195500,31483
VD,20210915200000,31253
VD,20210915200500,31023
VD,20210915201000,30616
VD,20210915201500,30434
VD,20210915202000,30256
VD,20210915202500,30127
VD,20210915203000,29829
VD,20210915203500,29564
VD,20210915204000,29401
VD,20210915204500,29354
VD,20210915205000,29126
VD,20210915205500,28893
VD,20210915210000,28701
VD,20210915210500,28714
VD,20210915211000,28669
VD,20210915211500,28381
VD,20210915212000,28246
VD,20210915212500,28069
VD,20210915213000,27838
VD,20210915213500,27890
VD,20210915214000,27806
VD,20210915214500,27773
VD,20210915215000,27607
VD,20210915215500,27363
VD,20210915220000,27079
VD,20210915220500,26684
VD,20210915221000,26422
VD,20210915221500,26191
