HDR,ROLLING SYSTEM DEMAND
VD,20210908000000,23472
VD,20210908000500,23397
VD,20210908001000,23380
VD,20210908001500,23333
VD,20210908002000,23268
VD,20210908002500,23174
VD,20210908003000,23058
VD,20210908003500,22829
VD,20210908004000,22832
VD,20210908004500,22858
VD,20210908005000,22818
VD,20210908005500,22782
VD,20210908010000,22754
VD,20210908010500,22972
VD,20210908011000,23123
VD,20210908011500,23073
VD,20210908012000,23129
VD,20210908012500,23082
VD,20210908013000,23046
VD,20210908013500,22999
VD,20210908014000,22938
VD,20210908014500,22909
VD,20210908015000,22814
VD,20210908015500,22761
VD,20210908020000,22626
VD,20210908020500,22553
VD,20210908021000,22733
VD,20210908021500,22724
VD,20210908022000,22684
VD,20210908022500,22676
VD,20210908023000,22676
VD,20210908023500,22678
VD,20210908024000,22671
VD,20210908024500,22716
VD,20210908025000,22676
VD,20210908025500,22692
VD,20210908030000,22690
VD,20210908030500,22673
VD,20210908031000,22658
VD,20210908031500,22671
VD,20210908032000,22718
VD,20210908032500,22799
VD,20210908033000,22778
VD,20210908033500,22813
VD,20210908034000,22818
VD,20210908034500,22834
VD,20210908035000,22840
VD,20210908035500,22903
VD,20210908040000,22878
VD,20210908040500,22559
VD,20210908041000,22539
VD,20210908041500,22628
VD,20210908042000,22729
VD,20210908042500,22611
VD,20210908043000,22678
VD,20210908043500,22573
VD,20210908044000,22640
VD,20210908044500,22778
VD,20210908045000,23047
VD,20210908045500,23333
VD,20210908050000,23548
VD,20210908050500,24085
VD,20210908051000,24460
VD,20210908051500,24608
VD,20210908052000,24836
VD,20210908052500,25221
VD,20210908053000,25562
VD,20210908053500,26004
VD,20210908054000,26472
VD,20210908054500,26647
VD,20210908055000,26796
VD,20210908055500,27152
VD,20210908060000,27505
VD,20210908060500,28046
VD,20210908061000,28479
VD,20210908061500,28699
VD,20210908062000,28856
VD,20210908062500,29069
VD,20210908063000,29318
VD,20210908063500,29524
VD,20210908064000,29683
VD,20210908064500,29860
VD,20210908065000,29948
VD,20210908065500,29877
VD,20210908070000,30085
VD,20210908070500,30378
VD,20210908071000,30616
VD,20210908071500,30740
VD,20210908072000,30711
VD,20210908072500,30681
VD,20210908073000,30618
VD,20210908073500,30618
VD,20210908074000,30576
VD,20210908074500,30375
VD,20210908075000,30325
VD,20210908075500,30197
VD,20210908080000,30196
VD,20210908080500,30178
VD,20210908081000,30280
VD,20210908081500,30198
VD,20210908082000,30301
VD,20210908082500,30255
VD,20210908083000,30151
VD,20210908083500,30175
VD,20210908084000,30080
VD,20210908084500,29929
VD,20210908085000,29970
VD,20210908085500,29921
VD,20210908090000,29886
VD,20210908090500,29848
VD,20210908091000,29800
VD,20210908091500,31099
VD,20210908092000,29263
VD,20210908092500,30180
VD,20210908093000,29997
VD,20210908093500,29536
VD,20210908094000,29414
VD,20210908094500,29316
VD,20210908095000,29305
VD,20210908095500,29409
VD,20210908100000,29550
VD,20210908100500,29538
VD,20210908101000,29563
VD,20210908101500,29520
VD,20210908102000,29519
VD,20210908102500,29501
VD,20210908103000,29464
VD,20210908103500,29542
VD,20210908104000,29388
VD,20210908104500,29256
VD,20210908105000,29297
VD,20210908105500,29383
VD,20210908110000,29449
VD,20210908110500,29501
VD,20210908111000,29533
VD,20210908111500,29525
VD,20210908112000,29480
VD,20210908112500,29409
VD,20210908113000,29393
VD,20210908113500,29388
VD,20210908114000,29370
VD,20210908114500,29244
VD,20210908115000,29268
VD,20210908115500,29181
VD,20210908120000,29136
VD,20210908120500,29096
VD,20210908121000,29089
VD,20210908121500,29043
VD,20210908122000,29076
VD,20210908122500,29235
VD,20210908123000,29228
VD,20210908123500,29117
VD,20210908124000,29019
VD,20210908124500,29053
VD,20210908125000,29067
VD,20210908125500,29034
VD,20210908130000,28997
VD,20210908130500,29078
VD,20210908131000,29064
VD,20210908131500,29086
VD,20210908132000,29037
VD,20210908132500,29061
VD,20210908133000,29111
VD,20210908133500,29191
VD,20210908134000,29270
VD,20210908134500,29203
VD,20210908135000,29301
VD,20210908135500,29336
VD,20210908140000,29315
VD,20210908140500,29372
VD,20210908141000,29291
VD,20210908141500,29194
VD,20210908142000,29233
VD,20210908142500,29194
VD,20210908143000,29281
VD,20210908143500,29511
VD,20210908144000,29695
VD,20210908144500,29840
VD,20210908145000,29950
VD,20210908145500,30135
VD,20210908150000,30210
VD,20210908150500,30417
VD,20210908151000,30751
VD,20210908151500,30958
VD,20210908152000,31067
VD,20210908152500,31234
VD,20210908153000,31401
VD,20210908153500,31436
VD,20210908154000,31586
VD,20210908154500,31802
VD,20210908155000,32088
VD,20210908155500,32282
VD,20210908160000,32471
VD,20210908160500,32528
VD,20210908161000,32620
VD,20210908161500,32758
VD,20210908162000,32984
VD,20210908162500,33076
VD,20210908163000,33118
VD,20210908163500,33358
VD,20210908164000,33299
VD,20210908164500,33342
VD,20210908165000,33365
VD,20210908165500,33407
VD,20210908170000,33663
VD,20210908170500,33667
VD,20210908171000,33613
VD,20210908171500,33495
VD,20210908172000,33380
VD,20210908172500,33373
VD,20210908173000,33396
VD,20210908173500,33587
VD,20210908174000,33673
VD,20210908174500,33669
VD,20210908175000,33661
VD,20210908175500,33651
VD,20210908180000,33627
VD,20210908180500,33627
VD,20210908181000,33546
VD,20210908181500,33508
VD,20210908182000,33534
VD,20210908182500,33533
VD,20210908183000,33526
VD,20210908183500,33658
VD,20210908184000,33698
VD,20210908184500,33745
VD,20210908185000,33735
VD,20210908185500,33900
VD,20210908190000,33893
VD,20210908190500,33917
VD,20210908191000,33776
VD,20210908191500,33657
VD,20210908192000,33555
VD,20210908192500,33289
VD,20210908193000,32964
VD,20210908193500,33257
VD,20210908194000,33213
VD,20210908194500,33126
VD,20210908195000,32823
VD,20210908195500,32551
VD,20210908200000,32189
VD,20210908200500,32147
VD,20210908201000,31996
VD,20210908201500,31673
VD,20210908202000,31344
VD,20210908202500,31205
VD,20210908203000,30833
VD,20210908203500,30842
VD,20210908204000,30788
VD,20210908204500,30790
VD,20210908205000,30712
